ID,Shloka,Translation,Time and Era,Celestial Objects/Mechanics,Ancient Astronomical Observations,Modern Scientific Understanding,Correlation Concepts,Cosmic Insights,NEP Correlation
55,"""क्षितिजस्याविवाणाद्रि - १५४ प्रमितस्त्रिलवा२० न्वितः । दिगंमोनेषुवेदेन्दु - १४४।५४ प्रमितः शशिनस्य च ॥ २३७ ॥""
","The diameter of the Earth is measured to be 15,400 yojanas, and the distance to the apsides of the Moon as 144,054 yojanas. This relates to lunar and solar distances.",4th/5th Century CE,Earth's Dimensions,"Earth's Dimensions, Lunar and Solar Distances",Earth's Dimensions Calculation,Earth's Dimensions Calculation,Earth's Dimensions Calculation,"This shloka correlates with NEP 2023 by showcasing ancient methodologies for measurement involving celestial bodies, aligning with NEP's emphasis on historical perspectives in astrophysics."
56,"""पूर्वैस्तु वा विरुद्धविम्बान्युक्तान्ययोग्यानि कुजादिकानाम् । विसंवाद तयाऽत्र विम्बं संदृश्यते येन भृगोः कलाद्यम् ॥ २४० ॥""
","Herein, the inconsistencies in the planetary positions, as given by various astronomers such as Mars, etc., are resolved. The correct positions of the planets are ascertained through agreement with their true places.",4th/5th Century CE,Planetary Positions,"Inconsistencies in Positions, Mars etc.",Resolving Inconsistencies,Resolving Inconsistencies,"Planetary Positions, Consistency","This shloka correlates with NEP 2023 by highlighting the process of determining celestial object diameters through image analysis, aligning with NEP's focus on observational techniques in astrophysics."
57,"""तथाऽन्यविम्बान्यपि सूक्ष्मदृष्ट्या न वास्तवान्यम्बरविम्बभेदात् । अतो यथार्थार्कमुखप्रणीतं प्रमाणमङ्गीकरणीयमायैः ॥ २४१ ॥""
","Similarly, other planetary positions, which may appear small in difference, are also resolved, and one should accept the measurement given by astronomers according to the true position of the Sun.",4th/5th Century CE,Planetary Dimensions,Resolving Small Differences,Resolving Small Differences,"Planetary Dimensions, Resolving Differences	","This shloka addresses the similarity of images with subtle vision, emphasizing the acceptance of the standard set by the solar face in astronomical observations.","This shloka correlates with NEP 2023 by emphasizing the use of standardized measurements derived from solar observations, aligning with NEP's encouragement of standardized practices in astrophysics."
58,"""एते भौमादिविष्कम्भाश्चन्द्र कर्ण गुणास्तथा । खखकर्णीदृष्टतास्ते च विष्कम्भा इन्दुगोलजाः ॥ २४३ ॥""
","The distances of the planets like Mars, etc., from the Earth, as well as the true positions of the lunar nodes (Rahu and Ketu), and the distances of the Moon and other heavenly bodies are determined.",4th/5th Century CE,"Accurate Positions, Movements, Lunar Nodes",Accurate Positions Calculation,Accurate Positions Calculation,Accurate Positions Calculation,"The shloka describes the characteristics of viskambhas related to celestial objects such as Mars and the moon, providing insights into their appearances.","This shloka correlates with NEP 2023 by presenting unique characteristics of celestial objects, aligning with NEP's promotion of detailed observational studies in astrophysics."
59,"भौमादिविम्बसंसिद्ध्यै तत्कर्णान् विम्बगांश्चलान् । त्रिचतुःकर्णयोगाधं स्फुटकर्णोऽस्य मस्तके ॥ २४५ ॥""


","The determination of the dimensions of planets like Mars is also accomplished. The movements of Mars and the other planets, as well as their dimensions and the nodes of their orbits, are accurately ascertained.",4th/5th Century CE,Mars and Other Planets,Angular Distances Measurement,Dimensions Measurement,Dimensions,"This shloka introduces a method for calculating the diameter and characteristics of the viskambha of Mars, emphasizing a specific mathematical approach","This shloka correlates with NEP 2023 by showcasing ancient methodologies for celestial calculations, aligning with NEP's encouragement of diverse computational methods in astrophysics."
60,". दिक्सं गुणव्यासकृतिर्ययोः स्यात् घातस्तयोर्योगदलोत्यवृत्ते ।
तदल्पतुल्योत्कम शिञ्जिनीं च दत्वा क्रमज्यामितरेखिका या ॥ १४८ ॥
","When the product of the cosines of the two arcs of any two great circles (of the celestial sphere) is added to the product of their sines, and a line segment equal to the square root of this sum is added, a chord of that length is created.",4th/5th Century CE,Celestial Geometry,"Great Circles, Chords",Celestial Geometry,"Trigonometry, Sines, Cosines","Celestial Geometry, Chords","This shloka correlates with NEP 2023 by illustrating historical trigonometric methods in astronomical calculations, aligning with NEP's encouragement of diverse mathematical techniques in astrophysics."
61,"तत्र त्रिनव्यासच प्रमाणां वृत्तं त्यक्त्वा शेषकं यच्च तन्न ॥ १५२ ॥
","There, having removed the circumference of the circle, whatever remains is the measure of the diameter. The diameter thus obtained is said to be like the scale of Bhaskara.",4th/5th Century CE,Circle Measurements,Diameter Calculation,Circumference Removal,Geometric Measurements,"The shloka suggests the rejection of a circle with three diameters, hinting at specific criteria in astronomical calculations.","This shloka correlates with NEP 2023 by showcasing the importance of specific criteria in mathematical models, aligning with NEP's emphasis on precision in astrophysical calculations."
63,"किञ्चिन्न्यनैः सार्धनागैः ८ । २८ । ४५ । ३६ विभागानतः सम्यक् भास्कराक्तप्रकारः ।
व्यासादृत्तस्योदितः सम्यगस्मा-
दाक्तो दिखिकामूलरूपः ॥ १५३ ॥

","Additionally, the divisions of 8, 28, 45, and 36 are the exact Bhaskara style divisions made with other half-radius instruments. The diameter thus determined will be like the scale of Bhaskara, when correctly viewed from the base of the instrument.",4th/5th Century CE,Instrumental Divisions,Bhaskara Style Divisions,Half-Radius Instruments,Instrumental Calibration,The shloka discusses a subtractive method in mathematical calculations and introduces Bhaskara's technique for determining the root shape of a product.,"This shloka correlates with NEP 2023 by presenting ancient subtractive methods in mathematical models, aligning with NEP's encouragement of diverse computational techniques in astrophysics."
64,"चक्रलिप्ताकृतौ के चिद्रसाष्टाङ्ग ६८७६ विस्तरम् ।
नियतं कल्पयित्वाऽज्ञाः सौरे स्थूलत्वदूषणम् ॥ १.५४ ॥
","Chakralipta instruments of various shapes and the Surya Yantra with 6876 divisions, established precisely, are meant for determining the solar mean longitudes accurately.",4th/5th Century CE,Astronomical Instruments,"Surya Yantra, Divisions",Chakralipta Instruments,Solar Longitudes,The shloka addresses the correction of perceptions regarding the sun's corpulence by contemplating its circular and spherical forms.,"This shloka correlates with NEP 2023 by highlighting the importance of revisiting and correcting astronomical perceptions, aligning with NEP's encouragement of dynamic perspectives in astrophysics."
65,"वदन्ति शिल्पवित्प्रोक्तष्टत्तसंमापनादिह । शुद्धसौरप्रतीत्यर्थं कुरु तन्मुखभञ्जनम् ॥ १५५ ॥
","Those skilled in architecture speak of the square of the diameter as having 184 divisions. For the clear measurement of the solar system, make the instrument known as ""Tanmukha-Bhanjana.""",4th/5th Century CE,Architectural Measurements,"The shloka emphasizes the significance of art and creativity, suggesting that the utterances of sculptors give life to their creations. It stresses the importance of purity in the expression of art.","In the context of astrophysics, this shloka can be interpreted as an acknowledgment of the role of creativity and symbology in understanding the cosmos. Scientists use creative models and symbology to represent complex astrophysical concepts, making them more accessible to the broader audience.",Architectural Insights,"Measurement Instruments, Solar System Measurements","This shloka correlates with the NEP 2023 emphasis on promoting diverse forms of art and creativity in education, aligning with the recognition of the importance of aesthetics and cultural expression."
66,"व्यासस्य वर्गवर्गाञ्च पञ्चवादष्टभाजितात् ।
पदं क्षेत्रफलं २ ज्ञेयं फलादया सो विलोमतः ॥ १६॥
","The square of the diameter, and the square of the square of the diameter, are to be divided by 58. The result obtained, when multiplied by 2, gives the area of the field (kshetra) with the correction of the square of the diameter.",4th/5th Century CE,Geometric Calculations,"The shloka discusses the mathematical concepts related to Vyas (Square), highlighting the importance of understanding the field and measuring it accurately.","In the domain of astrophysics, this shloka aligns with the precision required in measuring celestial bodies and the mathematical principles applied in understanding the vastness of the universe.","Geometry, Area Calculations","Geometric Concepts, Area Calculations","This shloka relates to the precision in measuring mathematical concepts, reflecting the significance of accurate measurements and geometry in modern astrophysics. The NEP 2023 encourages practical applications of mathematical concepts, aligning with this shloka's emphasis on understanding mathematical relationships.
"
67,अथ वा परिधैर्वर्गवर्गात् खाङ्गेन्दुभाजितात् । ग्रदं क्षेत्रफलं(१) चाऽस्मात् परिधिस्तु विलोमतः ॥ १५७॥,"Alternatively, one may subtract the square of the diameter from the square of the square of the diameter by dividing it by 58. The result obtained is the true area of the field (kshetra) after making a correction to the circumference.",4th/5th Century CE,Geometric Calculations,"The shloka involves geometric relationships, mentioning the division of a circle into parts. It associates the moon with geometry.","In the context of astrophysics, this shloka may be interpreted as a reference to understanding celestial bodies' geometric properties. Modern astronomy often involves precise measurements and calculations related to the moon's orbit and shape.","Geometry, Area Calculations","Geometric Concepts, Area Corrections","This shloka highlights geometric relationships, aligning with modern observations in astrophysics that involve understanding celestial bodies and their geometric properties. The NEP 2023 emphasizes interdisciplinary education, and this shloka supports the integration of geometry and astronomy."
68,"योजनानि शतान्यष्टौ भूव्यासो द्विगुणानि तु । नन्देषुखेषव - ५०५८ श्चाष्टाम्नयो ३८ भूपरिधिर्भवेत् ॥ १६३ ॥
","The number of yojanas is 108, and the diameter of the Earth is double that. The circumference of the Earth is 38 times that of the circumference of the Moon. It is 5058 yojanas.",4th/5th Century CE,Earth Measurements,"The shloka discusses measurements, specifically referencing Yojana and Bhuvyas, indicating a mathematical understanding of dimensions.","In the realm of astrophysics, this shloka aligns with the contemporary emphasis on precise measurements and understanding the vast dimensions of space. It echoes the importance of accurate calculations in space exploration.",Earth-Moon Ratios,"Planetary Measurements, Earth-Moon Ratios","This shloka delves into dimensions and measurements, connecting with contemporary astrophysics that explores the vastness of space. The NEP 2023 encourages research and exploration, aligning with this shloka's emphasis on understanding dimensions and the vastness of the universe."
69,"पुराणसौरागमभूः सदैका
योजनानां किल मानभेदात् ( २ ) । सङ्ख्याविभेदः कथितः (३) खतन्त्रः (४) शिरोमणौ तृक्तमिदं विरोधात्(५) ॥ १६४ ॥
","According to the Puranas, the solar orbit (sauragama) is always one yojana different from 2, 3, 4, or 5 times the number of yojanas (circumference) due to divisions in numbers and Khanda (parts), causing contradiction.",4th/5th Century CE,Solar Orbit Anomalies,"The shloka delves into ancient cosmogony, emphasizing the measurement of cosmic elements in Yojanas and numerical distinctions. It underscores the interconnectedness of cosmic phenomena.","In the realm of astrophysics, this shloka aligns with the precision required in measuring celestial distances and understanding the numerical relationships between cosmic elements.",Astronomical Divisions,"Solar Orbit Anomalies, Puranic Insights","This shloka reflects ancient cosmogony, emphasizing the significance of measurement, numerical distinctions, and the interconnectedness of cosmic elements. The NEP 2023 aligns with this by promoting holistic education and interdisciplinary studies, acknowledging the interconnectedness of knowledge domains."
70,"परं शुक्रौ न यतस्तयोश्च
भिन्नानि कल्पम्बमयोजनानि ॥ २१५ ॥
","Beyond Venus (Shukra) and Mercury (Budha), there are no other Kalpa Tambas, (i.e., their orbits are separated by Kalpa Tambas).",4th/5th Century CE,Planetary Orbits,The shloka discusses Venus's unique motion and the vastness of celestial distances measured in Yojanas.,"In the context of astrophysics, this shloka correlates with the precision required in understanding planetary motion, especially the unique motion of Venus, and the vast distances involved in celestial phenomena.",Planetary Orbits,"Planetary Orbits, Kalpa Tambas","This shloka discusses the unique motion of Venus and the vastness of celestial distances measured in Yojanas. In the context of astrophysics, it correlates with the precision required in understanding planetary motion and time cycles. The NEP 2023 encourages precision in scientific studies, aligning with this shloka's emphasis on accurate measurements."
71,"खकचिका योजनमानतस्त-
चक्रन्न कक्षाप्रमितानि सन्ति । कल्पस्थितैयैर्भगगणैर्ग्र होत्यै-
स्तदुद्धृतं स्याद्भ्रमणं च तस्य ॥ २१६ ॥
","Beyond the sphere of Khakacha (Earth), there are various circles of orbits, which are measured by Yojanas. The revolutions of the heavenly bodies in their respective orbits create motion, and their deviation results in their wanderings.",4th/5th Century CE,Celestial Orbits,"The shloka emphasizes space measurements and precision in celestial geometry, connecting them to Bhaga and Kalpa.","In modern astrophysics, this shloka aligns with the detailed measurement of astronomical units and the precision required in understanding celestial geometry.",Celestial Orbits,"Celestial Orbits, Yojana Measurements"," The NEP 2023 supports the integration of practical knowledge, aligning with this shloka's emphasis on precise measurements in astronomy."
72,"दिनोद्भवा योजनजा ग्रहाणां
गतिस्तया (१) प्रत्यहमाव्रजन्ति ॥ २१७ ॥
","The daily motion (Gati) of the planets, born from the Yojanas, causes them to return daily.",4th/5th Century CE,Planetary Motions,"This shloka discusses the daily motion of planets and their orbits, aligning with modern observations of planetary motion and orbital dynamics. The NEP 2023 encourages the study of natural phenomena and celestial sciences, connecting with this shloka's emphasis on understanding planetary motion.","In modern astrophysics, this shloka aligns with observations of planetary motion, orbital dynamics, and the study of celestial bodies' orbits.",Celestial Objects,"Planetary Motions, Daily Movements","This shloka discusses the daily motion of planets and their orbits, aligning with modern observations of planetary motion and orbital dynamics. The NEP 2023 encourages the study of natural phenomena and celestial sciences, connecting with this shloka's emphasis on understanding planetary motion."
73,"अथ खखगोलस्थिताकाशमध्यं
कुकेन्द्राच्च यावद्गतं यच्च सूत्रम् । भवेन्मध्यकर्णाभिधं तन्मितेन
भवद्द्याप्तखण्डेन यन्मण्डलं खे ॥ २१८ ॥
","And the space in the middle of the Earth and the celestial sphere, as long as it takes for a Sutra to be traversed, is called Madhyakarna. That part of the sky, which is illuminated by the light of the moon, is Chala.",4th/5th Century CE,Celestial Geometry,"The shloka describes the celestial sphere and its central axis, referring to a mathematical model.","In modern astrophysics, this shloka correlates with the concept of celestial coordinates and mathematical frameworks used to represent the sky.",Celestial Geometry,"Celestial Geometry, Space Measurements","In modern astrophysics, this aligns with the use of mathematical models to represent celestial coordinates and frameworks. The NEP 2023 emphasizes the application of mathematical models in scientific studies, aligning with this shloka's reference to mathematical spheres."
74,"तदेव खमध्याख्यकक्षाभिषं तत्-
प्रमाणं शट्टणूक्तार्कशास्त्राद्ग्रहाणाम् ।
सदा यत्प्रमाणादिनेदोच विम्बा-
श्रयं मण्डलं मध्यगत्या चलं प्राक् ॥ २१९ ॥
","That very same middle sphere, called Akasha, is also used as a reference in the arithmetic of heavenly bodies by the astronomers of the Shatpanchasiddhanta. By this measure, the disk of the Sun is seen to move day by day.",4th/5th Century CE,Celestial Arithmetic,"The shloka emphasizes the celestial sphere's central axis and its mathematical model, focusing on precise measurements and cosmic geometry.","In modern astrophysics, this shloka aligns with the concept of celestial coordinates, mathematical models representing the sky, and the precision required in studying cosmic geometry.",Celestial Arithmetic,"Celestial Arithmetic, Akasha References","In modern astrophysics, this aligns with the use of mathematical models to represent celestial coordinates and frameworks. The NEP 2023 emphasizes the application of mathematical models in scientific studies, aligning with this shloka's reference to mathematical spheres."
75,"ख(१) त्रयाधिद्दिदहनाः कच्चा तु हिमदीधितेः । चन्द्रजस्याङ्कखद्दित्रिकृतशून्येन्दवस्ततः ॥ २२० ॥

","The Sun has three modes (states) - Kashyapa (heating), Himadri (cooling), and Chandrajasa (luminous). There is also the interval when the Moon is void of rays (Amavasya).",4th/5th Century CE,Solar States,"The shloka discusses the sun's three parts, the moon's phases, and the absence of sunspots on the moon.","In modern astrophysics, this shloka aligns with the study of solar activity, lunar phases, and the observation of sunspots on the moon.",Solar States,"Solar Modes, Amavasya Periods","In modern astrophysics, it aligns with the study of solar activity, lunar phases, and the observation of sunspots. The NEP 2023 supports the integration of practical knowledge, aligning with this shloka's emphasis on celestial observations.
"
76,"ततः शुक्रो बुधस्तस्मात् तत इन्दुरिति स्फुटम् । द्वयोर्द्वयोरन्तरे तु सिद्धविद्याधरादिजाः ॥ ८६ ॥
","Then, after them, Venus, Mercury, and the Moon are clearly visible. In between each pair, there are Siddhas, Vidhyadharas, and others.",4th/5th Century CE,Planetary Visibility,"The shloka mentions Venus and Mercury, describing their distinct motion.","In modern astrophysics, this shloka correlates with the study of planetary orbits, astronomical bodies, and the distinct motion of Venus and Mercury.",Planetary Pairs,"Planetary Visibility, Celestial Beings"," It correlates with the study of planetary orbits and celestial motion. The NEP 2023 encourages the study of natural phenomena and celestial sciences, connecting with this shloka's emphasis on understanding planetary motion.
"
77,"आकाशगोलास्तिष्ठन्ति त्वरूपाङ्गाश्च ये सदा । सर्वत्र (२) लग्नगालेषूर्ध्वगः खचलनाद्ध्रुवम् ॥ ८७ ॥
","Those planets dwell within the celestial spheres along with their respective forms. They remain stationary in all directions, above, below, and at the equator; they do not move.",4th/5th Century CE,Celestial Spheres,"The shloka describes celestial bodies standing in the cosmic structure, emphasizing their varied forms and constant motion.","In modern astrophysics, this shloka aligns with the study of the astrophysical framework, celestial coordinates, and the constant motion of celestial bodies.",Celestial Stationarity,"Celestial Orbits, Planetary Stationarity","In modern astrophysics, it aligns with the study of the astrophysical framework, celestial coordinates, and cosmic motion. The NEP 2023 emphasizes interdisciplinary education, aligning with this shloka's reference to the interconnectedness of celestial knowledge."
78,"सर्वानधः स्थानयनांशगत्या तदन्यगोला न तथा स्वशक्त्या ।
ते कवलं खाम्बरगभ्धमार्थ-मन्याम्बरस्थभ्रमणाय न स्युः ॥ ६६ ॥

","By the downward motion of all, other than the stars, and not by their own power, these celestial spheres remain suspended. They rotate within the sky and do not move independently. They are like the rotating garments worn by dancers.",4th/5th Century CE,Celestial Motions,"The shloka describes the motion of celestial bodies and their orbits, emphasizing their dynamic nature.","In modern astrophysics, this shloka aligns with the study of celestial dynamics, orbital paths, and rotational motion.",Rotating Celestial Spheres,"Celestial Motions, Rotational Dynamics","In modern astrophysics, it aligns with the study of celestial dynamics, orbital paths, and rotational motion. The NEP 2023 supports research in astrophysics, connecting with this shloka's emphasis on understanding celestial motion.
"
79,"स्थिरं प्रत्यक्चलं भाति खस्यं प्राग्भूभ्रमान्नृणाम् ।
प्रो व्यर्थ इत्या ( १ ) भटोक्तः श्टविहोत्तरम् ॥६७॥ (२)
","For people on Earth, it appears as if the celestial sphere is stationary, but it is actually moving. This was explained by Bhattotpala in his commentary. It is as if they move without purpose.",4th/5th Century CE,Earthly Observations,"The shloka discusses the perceived stability and motion of celestial bodies, emphasizing the precision in observing their movements.","In modern astrophysics, this shloka aligns with the study of celestial stability, motion measurement, and observational precision.",Apparent Celestial Motions,"Apparent Motions, Earth Observations","In modern astrophysics, it aligns with the study of celestial stability, motion measurement, and observational precision. The NEP 2023 encourages precision in scientific studies, connecting with this shloka's emphasis on precise celestial observations."
80,"यत् सर्वतो निराधार खोर्ध्वदेशगतं गुरु ।
स्वस्थान एव तन्नूनं पंततीत्यपि निर्णये ॥ ६८ ॥
","Because it has no support anywhere and is situated in the upper region without attachment, even though it seems to be stationary, it actually moves. This is the conclusion.",4th/5th Century CE,Celestial Support,"The shloka refers to a celestial reference point for cosmic orientation, emphasizing its importance in understanding the cosmic realm.","In modern astrophysics, this shloka aligns with the study of celestial navigation, orientation, and cosmic reference points.",Celestial Support,"Celestial Stability, Unsupported Spheres"," In modern astrophysics, it aligns with the study of celestial navigation, orientation, and cosmic reference points. The NEP 2023 promotes interdisciplinary education, connecting with this shloka's reference to the interconnectedness of celestial knowledge."
81,"भूमावपि ध्रुवायोगात् तत् तुच्छं प्रवड़े गते ॥ ६६ ॥
","Even on Earth, due to the influence of the pole star (Dhruva), that which is trivial appears as if it moves.",4th/5th Century CE,Earth Observations,"The shloka describes the motion of the Earth and its perceived insignificance compared to celestial dynamics,Dhruva Influence","In modern astrophysics, this shloka aligns with the study of Earth's rotation, celestial mechanics, and motion analysis.Pole Star Influence",Dhruva and Earth Motions,"Pole Star Influence, Earth Movements","The NEP 2023 encourages the exploration of natural phenomena, connecting with this shloka's emphasis on understanding Earth's motion in the celestial context."
82,"एवं हि कालबोधार्थं गोलाः सप्त ग्रहेाङ्गवाः ।
गोलोऽष्टमो भगोलाख्यो नवमः प्रवहाभिषः ॥ १०० ॥
","In this way, for the understanding of time, there are seven celestial spheres, and the eighth is called ""Bhagola"" (the Earth), and the ninth is called ""Pravaha"" (the orbit of Dhruva).",4th/5th Century CE,Time Measurement,"The shloka introduces seven celestial spheres and the eighth celestial model (Gola), emphasizing their importance in understanding the cosmos.","In modern astrophysics, this shloka aligns with the study of celestial models, spherical geometry, and astrophysical frameworks.",Time and Celestial Spheres,"Time Measurement, Celestial Orbits","It aligns with the study of celestial models, spherical geometry, and astrophysical frameworks. The NEP 2023 encourages the application of mathematical models in scientific studies, connecting with this shloka's reference to celestial spheres and models.



"
83,"प्रादग्निपर्यन्तं पवनाख्याम्बरोद्भवाः ।
गोलाः खच्छतरास्तद्दद्दृढा रूपविवर्जिताः ॥ १०१ ॥
","From the east to the west, there are ""Pavana"" (wind) and ""Ambara"" (sky) spheres. These celestial spheres, including the stars, are of firm shape and have no variations in their form.",4th/5th Century CE,Celestial Directions,"The shloka describes the layers of the atmosphere and the origin of air, highlighting their strong, formless nature. Pavana and Ambara Spheres","In modern astrophysics, this shloka aligns with the study of atmospheric dynamics, air composition, and the concept of celestial clothing.",Celestial Shapes,"Celestial Directions, Forms","It aligns with the study of atmospheric dynamics, air composition, and the concept of celestial clothing. The NEP 2023 encourages interdisciplinary research, connecting with this shloka's emphasis on understanding atmospheric layers."
84,"यथा विरूप भूवायुस्तथेन्दोः प्रवहन्तिजाः ।
विरूपा निर्मलाकाशा अपि स्युः पवनाभिधाः १०२ ॥
","Just as the wind on Earth has various forms, similarly, the planets and stars also move in different directions. Even the formless spaces in the sky are called ""Pavana"" (wind).",4th/5th Century CE,Celestial Winds,"The shloka compares the wind's varied patterns to the flow of the moon, emphasizing the harmony in celestial motion.","In modern astrophysics, this shloka aligns with the study of atmospheric flow, celestial motion, and harmonious systems.",Celestial Winds,"Celestial Movements, Wind Analogies","The NEP 2023 supports the exploration of natural phenomena, connecting with this shloka's emphasis on the harmonious nature of celestial motion."
85,"विरलाविरलाङ्गौ तावने के कगतिमौ ।
पवन येऽनिलाकाशाः प्रोक्तशून्याम्बरेतराः ॥ १०३ ॥
","Some of them move infrequently, while others move frequently. These are known as ""Pavana"" (wind) or ""Anilakasha"" (space without support).",4th/5th Century CE,Celestial Movement,"The shloka describes the unique and varied forms of celestial bodies, emphasizing their distinct motion and structure. Infrequent and Frequent Celestial Motion","In modern astrophysics, this shloka aligns with the study of celestial bodies, cosmic structure, and motion patterns.",Pavana and Anilakasha,Celestial Movements and Characteristics,"It aligns with the study of celestial bodies, cosmic structure, and motion patterns. The NEP 2023 encourages the exploration of diverse subjects"
86,"दूरे चाल्प इति ज्ञयस्तारतम्यात् करोङ्गवः ।
एवं भगोलावधिकस्तत्प्रकाशस्ततो (१) न सः ॥ १०६ ॥
","They (the celestial bodies) are considered near and far due to their differences. In this way, the celestial spheres are many, and thus, there is no unity.",4th/5th Century CE,Celestial Distances,"The shloka discusses the concept of cosmic proximity and scale, emphasizing the varying sizes of celestial bodies.","In modern astrophysics, this shloka aligns with the study of celestial scale, size comparison, and the cosmic hierarchy.",Celestial Distances,"Unity in Celestial Bodies, Perception of Distances","This shloka aligns with the study of celestial scale, size comparison, and the cosmic hierarchy. The NEP 2023 encourages size-relative learning, connecting with this shloka's emphasis on understanding cosmic proportions."
87,"ब्रह्माण्डगान्धकारस्या गोलाः सर्वेऽथ तेषु च ।
भगोलान्तं तमो नष्टं भवेद्यञ्च तदूर्ध्वगम् ॥ १०७ ॥
","All the celestial spheres, as well as the Earth, are immersed in the darkness of the cosmic egg. The darkness at the end of the celestial spheres is destroyed, and beyond that, it rises upward.",4th/5th Century CE,Cosmic Egg,"The shloka describes the relationship between cosmic darkness and celestial bodies, emphasizing the dispelling of darkness through cosmic enlightenment.","In modern astrophysics, this shloka aligns with the study of dark matter, celestial bodies, and cosmic enlightenment.",Cosmic Egg and Darkness,"Cosmic Immersion, Darkness Beyond Celestial Spheres","The NEP 2023 supports the exploration of unknown realms, connecting with this shloka's emphasis on the dispelling of cosmic darkness."
88,"यथास्थितं खतः श्याममसमर्थकरान्वितम् ।
नीलं संदृश्यतेऽत्रत्यैस्तम एवाम्बरस्थितम् ॥ १०८ ॥
","Just as a mountain appears black from a distance due to the inability to see its details, similarly, the blue hue is seen in the celestial spheres, even though they are in the clear space.",4th/5th Century CE,Celestial Appearances,"The shloka describes the appearance of celestial bodies, emphasizing their diverse colors and the inability to perceive them without appropriate tools.","In modern astrophysics, this shloka aligns with the study of celestial colors, appearance, and spectral analysis.",Celestial Colors,"Perception of Celestial Colors, Atmospheric Effects","The NEP 2023 encourages the use of advanced tools, connecting with this shloka's emphasis on the necessity of tools for understanding celestial appearances."
89,"केन्द्रं तेषामेकमेव सर्वकेन्द्रं तदुच्यते ।
तत्केन्द्रतो यस्य केन्द्रं भिन्नमस्ति स एव कौ ॥ ११० ॥
","One among them is considered the central sphere, and it is called the ""sarvakendra"" (center of all). Any other sphere, which is distinct from the central one, is called ""kau"" (other).",4th/5th Century CE,Celestial Center,"The shloka discusses the concept of a central celestial body, emphasizing its role as the center of unity in the cosmos.
","In modern astrophysics, this shloka aligns with the study of central celestial bodies, cosmic unity, and the center of mass.",Celestial Unity,"Central Celestial Sphere, Celestial Distinctions","The NEP 2023 encourages interdisciplinary collaboration, connecting with this shloka's emphasis on the central unity of the cosmos."
90,"जलगोलो महान् स्वच्छतरो ज्ञेयो महार्णवः ।
यं भवं सदाऽर्कस्य करा गच्छन्ति चाम्बरम् ॥ १११ ॥
",The great sphere of water is vast and clear; it is known as the great ocean. It is the place to which the rays of the Sun (Ravi) perpetually go and return.,4th/5th Century CE,Celestial Ocean,"The shloka describes the vastness of celestial motion, emphasizing the need for cleanliness and awareness of space exploration.","In modern astrophysics, this shloka aligns with the study of celestial motion, cleanliness in space, and space exploration.",Celestial Ocean Dynamics,"Solar Interaction, Celestial Ocean Characteristics","The NEP 2023 promotes cleanliness and sustainable practices, connecting with this shloka's emphasis on cleanliness and awareness in space exploration."
91,"अहोरात्राख्यवृत्तानि ध्रुवमध्याद्भवन्ति हि । सौम्यध्रुवात् कदम्वस्य स्थानं याम्ये जिनांशकैः ॥ ६१ ॥
","The cycles of day and night are known as Ahoratra, and they revolve around the center of Dhruva. Between them, Saumya and Yamyau guide the Kadamva's position as it moves north and south on the globe.",4th/5th Century CE,"Celestial Spheres, Day-Night Cycles	",The shloka discusses the day-night cycle and the use of Dhruva for celestial navigation.,"In modern astrophysics, this shloka aligns with the study of celestial movements, especially the use of Dhruva for celestial navigation.","Day-Night Cycles, Celestial Motion	","Celestial Sphere, Day-Night Dynamics","This shloka aligns with the study of celestial movements, especially the use of Dhruva for celestial navigation. The NEP 2023 promotes navigation skills, connecting with this shloka's emphasis on celestial navigation.
"
92,"याम्यध्रुवात् कदम्बस्य स्थानं सौम्ये जिनांशकैः । एवं क्रमान्मिथः षड्भान्तरितौ तौ कदम्बकौ ॥ ६२ ॥
","Kadamva moves between the two Kadamvas, guided by Saumya and Yamyau, forming the 'Kranthi Mandal' (circle of procession). This circle is stable and influenced by the celestial components.",4th/5th Century CE,Celestial Motion,The shloka describes the sequential motion of celestial bodies in the celestial order.,"In modern astrophysics, this shloka aligns with the study of celestial order, sequential movement, and the motion of celestial bodies.","Celestial Circles, Stability","Celestial Motion, Orbital Paths","The NEP 2023 encourages understanding sequential patterns, connecting with this shloka's emphasis on sequential celestial motion."
93,"सौम्ययाम्यौ तु तन्मध्यात् तद्गोले प्रवहाभिधे ।
 मण्डलं खाङ्कभागैर्यत् तत् स्थिरं क्रान्तिमण्डलम् ॥ ६३ ॥","Saumya and Yamyau move within the globe, creating the stable 'Kranthi Mandal.' This circle remains fixed with respect to parts of the sky.",4th/5th Century CE,Celestial Sphere,"The shloka discusses the position of celestial bodies within the celestial sphere and the galactic plane. Saumya and Yamyau Paths, Kranthi Mandal","In modern astrophysics, this shloka aligns with the study of the celestial sphere, galactic plane, and astronomical observations. Earth's Rotation, Celestial Dynamics",Celestial Stability,"Globe Dynamics, Celestial Spheres","This shloka correlates with NEP by emphasizing the importance of celestial observations, aligning with the promotion of scientific temperament and research in astronomy and astrophysics. The NEP encourages integrating traditional knowledge with modern scientific methods."
